Code,Lat,Lon,Year,ANPP,MAT,MAP,SOL,PET,AI,STN,SOC,PH,BD,CN,SILT,CLAY,ELEV,ASP,SLOPE,Formation,predictValues
111,47.17,11,1978,85,-1.362,1199.51,4485.48192,278.095,1.8074,1.18168,17.4918,5.59332,0.928692,14.7974,11.4226,15.8998,2467,193.102,12.2455,"Alpine Scrub, Forb Meadow & Grassland",122.9580333
112,45.45,84.42,2001,67,7.996,194.924,5316.86592,1136.2,0.1062,0.394754,1.76196,7.80586,1.36842,4.46398,33.5478,21.4042,846,180.195,0.982329,Cool Semi-Desert Scrub & Grassland,63.06906667
113,45.58,84.22,2001,118,5.652,254.251,5213.08224,1041.85,0.1579,0.405016,2.79561,7.64285,1.36911,6.89814,33.1158,24.1192,1149,275.706,0.241453,Cool Semi-Desert Scrub & Grassland,109.2811667
114,46.24,84.11,2001,89,4.226,253.992,5214.7152,946.231,0.1715,0.402365,3.97409,7.66775,1.34998,9.85262,30.9406,23.227,974,190.931,1.63331,Cool Semi-Desert Scrub & Grassland,102.5316333
115,46.11,90.18,2001,28,4.418,153.299,5455.35648,917.257,0.1057,0.418238,1.50836,7.46543,1.3163,3.60545,29.3525,26.3748,1057,226.811,1.66812,"Alpine Scrub, Forb Meadow & Grassland",44.82613333
116,45.59,117.04,2001,81,1.65,190.243,5612.48352,880.579,0.2053,0.511872,4.50028,7.08924,1.4181,8.7925,31.4174,17.5562,914,272.703,1.15497,"Temperate Grassland, Meadow & Shrubland",106.7395333
117,45.41,116.91,2001,53,1.847,189.438,5616.16416,887.251,0.2009,0.505917,4.13428,7.02234,1.4473,8.17182,29.0963,15.9502,912,131.136,1.33276,"Temperate Grassland, Meadow & Shrubland",84.62957637
118,45.27,116.91,2001,154,1.585,195.973,5622.54048,869.222,0.2148,0.508099,5.91236,7.13727,1.19862,11.6346,20.6374,10.1072,1030,121.373,1.62488,"Temperate Grassland, Meadow & Shrubland",150.5787333
119,45.51,83.9,2001,98,4.345,312.35,5134.54464,912.611,0.2104,0.438568,3.76202,7.0386,1.33782,8.57718,34.388,23.384,1439,117.581,1.47816,Cool Semi-Desert Scrub & Grassland,100.2351556
120,45.59,83.65,2001,128,1.743,358.793,5067.56736,747.997,0.2969,0.536548,5.24668,6.92024,1.21406,9.7832,40.541,21.5382,1835,190.096,2.38289,Cool Semi-Desert Scrub & Grassland,126.298119
